"country"	"mprog"	"helcom_subbasin"	"helcom_l3"	"helcom_l4"	"ices_ecoregion"	"ospar_region"	"ospar_subregion"	"is_amap_monitoring"	"is_helcom_monitoring"	"is_medpol_monitoring"	"is_ospar_monitoring"	"is_amap_area"	"is_helcom_area"	"is_ospar_area"	"rlabo"	"slabo"	"alabo"	"statn"	"myear"	"date"	"latitude"	"longitude"	"dephu"	"dephl"	"purpm"	"finfl"	"rlist"	"speci"	"speci_name"	"aphiaid"	"worms_name"	"aphiaid_accepted"	"worms_accepted_name"	"sexco"	"stage"	"noinp"	"bulkid"	"param"	"pargroup"	"matrx"	"basis"	"value"	"munit"	"detli"	"lmqnt"	"uncrt"	"metcu"	"qflag"	"vflag"	"metoa"	"metcx"	"metpt"	"metst"	"metps"	"metfp"	"smtyp"	"smpno"	"subno"	"dcflgs"	"tblanalysisid"	"tblparamid"	"tblbioid"	"tblsampleid"	"tblspotid"	"tbluploadid"	"accessionid"	"subseries"
"Norway"	"CEMP"	""	""	""	"Greater North Sea"	2	"Skagerrak and Kattegat"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	"NIVA"	"NIVA"	"NIVA"	"30A Gressholmen"	1992	"1992-11-02"	59.88033333	10.71183333	NA	NA	"T~S"	""	"ER"	"Mytilus edulis"	"Mytilus edulis"	140480	"Mytilus edulis"	140480	"Mytilus edulis"	"X"	""	50	""	"ACNE"	"O-PAH"	"SB"	"W"	0.6	"ug/kg"	0.2	NA	NA	""	""	""	""	""	""	""	""	"NON"	"HAN"	"0"	"3"	""	198839	44808301	3709125	1848353	294004	9976	19930068	NA
"Norway"	"CEMP"	""	""	""	"Greater North Sea"	2	"Skagerrak and Kattegat"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	"NIVA"	"NIVA"	"NIVA"	"30A Gressholmen"	1992	"1992-11-02"	59.88033333	10.71183333	NA	NA	"T~S"	""	"ER"	"Mytilus edulis"	"Mytilus edulis"	140480	"Mytilus edulis"	140480	"Mytilus edulis"	"X"	""	50	""	"ACNE"	"O-PAH"	"SB"	"W"	0.6	"ug/kg"	0.2	NA	NA	""	""	""	""	""	""	""	""	"NON"	"HAN"	"0"	"2"	""	198839	44808302	3709124	1848353	294004	9976	19930068	NA
"Norway"	"CEMP"	""	""	""	"Greater North Sea"	2	"Skagerrak and Kattegat"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	"NIVA"	"NIVA"	"NIVA"	"30A Gressholmen"	1992	"1992-11-02"	59.88033333	10.71183333	NA	NA	"T~S"	""	"ER"	"Mytilus edulis"	"Mytilus edulis"	140480	"Mytilus edulis"	140480	"Mytilus edulis"	"X"	""	100	""	"LNMEA"	"B-BIO"	"SH"	""	2.5	"cm"	NA	NA	0.03	"SD"	""	""	""	""	""	"RT"	""	""	"HAN"	"0"	"1"	""	198979	44808572	3709123	1848353	294004	9976	19930068	NA
"Norway"	"CEMP"	""	""	""	"Greater North Sea"	2	"Skagerrak and Kattegat"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	"NIVA"	"NIVA"	"NIVA"	"30A Gressholmen"	1992	"1992-11-02"	59.88033333	10.71183333	NA	NA	"T~S"	""	"ER"	"Mytilus edulis"	"Mytilus edulis"	140480	"Mytilus edulis"	140480	"Mytilus edulis"	"X"	""	50	""	"LNMEA"	"B-BIO"	"SH"	""	3.4	"cm"	NA	NA	0.03	"SD"	""	""	""	""	""	"RT"	""	""	"HAN"	"0"	"2"	""	198979	44808573	3709124	1848353	294004	9976	19930068	NA
"Norway"	"CEMP"	""	""	""	"Greater North Sea"	2	"Skagerrak and Kattegat"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	"NIVA"	"NIVA"	"NIVA"	"30A Gressholmen"	1992	"1992-11-02"	59.88033333	10.71183333	NA	NA	"T~S"	""	"ER"	"Mytilus edulis"	"Mytilus edulis"	140480	"Mytilus edulis"	140480	"Mytilus edulis"	"X"	""	50	""	"LNMEA"	"B-BIO"	"SH"	""	4.4	"cm"	NA	NA	0.03	"SD"	""	""	""	""	""	"RT"	""	""	"HAN"	"0"	"3"	""	198979	44808575	3709125	1848353	294004	9976	19930068	NA
"Norway"	"CEMP"	""	""	""	"Greater North Sea"	2	"Skagerrak and Kattegat"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	"NIVA"	"NIVA"	"NIVA"	"30A Gressholmen"	1992	"1992-11-02"	59.88033333	10.71183333	NA	NA	"T~S"	""	"ER"	"Mytilus edulis"	"Mytilus edulis"	140480	"Mytilus edulis"	140480	"Mytilus edulis"	"X"	""	50	""	"DDEPP"	"OC-DD"	"SB"	"W"	1	"ug/kg"	0.1	NA	NA	""	""	""	""	""	""	""	""	"NON"	"HAN"	"0"	"3"	""	198914	44809806	3709125	1848353	294004	9976	19930068	NA
"Norway"	"CEMP"	""	""	""	"Greater North Sea"	2	"Skagerrak and Kattegat"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	"NIVA"	"NIVA"	"NIVA"	"30A Gressholmen"	1992	"1992-11-02"	59.88033333	10.71183333	NA	NA	"T~S"	""	"ER"	"Mytilus edulis"	"Mytilus edulis"	140480	"Mytilus edulis"	140480	"Mytilus edulis"	"X"	""	50	""	"DDEPP"	"OC-DD"	"SB"	"W"	1	"ug/kg"	0.1	NA	NA	""	""	""	""	""	""	""	""	"NON"	"HAN"	"0"	"2"	""	198914	44809807	3709124	1848353	294004	9976	19930068	NA
"Norway"	"CEMP"	""	""	""	"Greater North Sea"	2	"Skagerrak and Kattegat"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	"NIVA"	"NIVA"	"NIVA"	"30A Gressholmen"	1992	"1992-11-02"	59.88033333	10.71183333	NA	NA	"T~S"	""	"ER"	"Mytilus edulis"	"Mytilus edulis"	140480	"Mytilus edulis"	140480	"Mytilus edulis"	"X"	""	100	""	"DDEPP"	"OC-DD"	"SB"	"W"	1.2	"ug/kg"	0.1	NA	NA	""	""	""	""	""	""	""	""	"NON"	"HAN"	"0"	"1"	""	198914	44809817	3709123	1848353	294004	9976	19930068	NA
"Norway"	"CEMP"	""	""	""	"Greater North Sea"	2	"Skagerrak and Kattegat"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	"NIVA"	"NIVA"	"NIVA"	"30A Gressholmen"	1992	"1992-11-02"	59.88033333	10.71183333	NA	NA	"T~S"	""	"ER"	"Mytilus edulis"	"Mytilus edulis"	140480	"Mytilus edulis"	140480	"Mytilus edulis"	"X"	""	100	""	"WTMEA"	"B-BIO"	"EX"	""	1	"g"	NA	NA	NA	""	""	""	"GRV"	""	""	NA	""	""	"HAN"	"0"	"1"	""	198983	44812704	3709123	1848353	294004	9976	19930068	NA
"Norway"	"CEMP"	""	""	""	"Greater North Sea"	2	"Skagerrak and Kattegat"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	"NIVA"	"NIVA"	"NIVA"	"30A Gressholmen"	1992	"1992-11-02"	59.88033333	10.71183333	NA	NA	"T~S"	""	"ER"	"Mytilus edulis"	"Mytilus edulis"	140480	"Mytilus edulis"	140480	"Mytilus edulis"	"X"	""	100	""	"WTMEA"	"B-BIO"	"SB"	""	0.5	"g"	NA	NA	NA	""	""	""	"GRV"	""	""	NA	""	""	"HAN"	"0"	"1"	""	198982	44812705	3709123	1848353	294004	9976	19930068	NA
